هناك ، أمام بيانات السائح تماما .	MSA
لم اسمع بهذا العنوان من قبل بالقرب من هنا .	MSA
استمر في السير في هذا الطريق حتى تجد صيدلية .	MSA
كم تكلفة الإفطار ؟	MSA
كيف أستطيع مساعدتك ؟	MSA
اتجه يسارا عند الناصية الثالثة .	MSA
هل تحب أن تضع قشدة وسكر في قهوتك ؟	MSA
هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟	MSA
إذا حدث ذلك ، من فضلك أتصل بي .	MSA
أين المقهى ؟	MSA
أريد جاكيت للأطفال .	MSA
حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .	MSA
هل لديك أحذية حريمي عند أصابع القدم ؟	MSA
هل ستواجهني أية صعوبات في الجمارك ؟	MSA
لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .	MSA
أريد تمويج متقارب لشعري ، من فضلك .	MSA
هي تريد بيرة .	MSA
صباح الخير . كيف حالك .	MSA
أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .	MSA
أي نوع من الملابس ؟	MSA
صار هونيك ، بالظبط قدام مكتب استعلامات السياح .	BEI
بعمري ما سمعت بهالعنوان هون .	BEI
روح دغري لحتى تشوف صيدلية .	BEI
أدي حق الترويقة ؟	BEI
كيف فيني ساعدك ؟	BEI
روح شمال عالزاوية التالتة .	BEI
عبالك كريمة و سكر بقهوتك ؟	BEI
فيك تصرفلي الشيك تبعي تبع المتين دولار ؟	BEI
إذا لازم يبين ، عمل معروف دقلي .	BEI
وين القهوة ؟	BEI
بدي كنزة للولاد .	BEI
أوك ، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص .	BEI
رح يكون في شي صعوبات مع الجمارك ؟	BEI
عندك صبابط رسمي تبع الأصابيع العراض ؟	BEI
لاء . بد هيك فيي إقترح أوضة بتختين لإستخدام شخص ؟ عنا واحدة .	BEI
بدي كيرلي ضيق ، إذا بتريد .	BEI
بدا بيرة .	BEI
صباحو . كيفك ؟	BEI
للأسف محتاج اشوف أي اثبات شخصية .	BEI
أي نوع صوص ؟	BEI
ده قدامك هناك ، يادوبك قدام مكتب استعلامات السياحة .	CAI
عمري ما سمعت عن العنوان ده هنا .	CAI
أمشي علطول لحد ما تلقي صيدلية .	CAI
بكام الفطار ؟	CAI
ازاي أقدر اساعدك ؟	CAI
احود شمال عند الناصية التالته .	CAI
تحب كريمة و سكر في قهوتك ؟	CAI
ممكن تصرفلي شيك بميتين دولار ؟	CAI
لو لازم يظهر ، لو سمحت كلمني .	CAI
فين القهوة ؟	CAI
عايز بلوفر اطفال .	CAI
اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص .	CAI
حالاقي مشاكل مع الجمارك ؟	CAI
عندك جزم رسمي واسعه من قدام ؟	CAI
لأ . ممكن انصح اوضة بسريرين يقعد فيها واحد بس ؟ احنا عندنا واحده .	CAI
عاوز كيرلي جامد ، لو سمحت .	CAI
نفسها في بيرة .	CAI
صباح الخير . عامل ايه ؟	CAI
متأسف بس محتاج أشوف أى مستند اثبات شخصية .	CAI
أى نوع صوص ؟	CAI
هو ذاك الصوب ، بالضبط جدام استعلامات السياح بالضبط .	DOH
ما قط سمعت بهالعنوان في هالمنطقة من قبل .	DOH
امش سيده لين تشوف صيدلية .	DOH
بكم الريوق ؟	DOH
شلون اقدر اساعدك ؟	DOH
خذ ثالث لفة يسار .	DOH
بغيت سكر وكريمة في القهوة ؟	DOH
ممكن تصرف لي قيمة جيكي بو ميتين دولار كاش ؟	DOH
اذا المفروض يصير ، اتصل فيني .	DOH
وين الكوفي شوب ؟	DOH
بغيت فانلة يهال .	DOH
اوكي . يكلف خمسة وثمانين سنت بالبريد العادي وثلاث دولارات بالضبط زيادة حق التسليم الخاص .	DOH
بتكون في اي صعوبات مع الجمارك ؟	DOH
عندك جواتي رسمية حق الرجول العريضة ؟	DOH
لا . بغيت غرفة مزدوجة بس حق استخدام فردي ؟ عندنا وحدة .	DOH
ابغي كيرلي ضيق ، لو سمحت .	DOH
هي تبغي بير .	DOH
صباح الخير . شلونك ؟	DOH
مسامحة بس لازم اشوف شي يثبت الهوية .	DOH
اي نوع صوص ؟	DOH
راه تما ، مقابل مكتب استعلامات السياح بالضبط .	RAB
ما عمري سمعت هاد العنوان هنايا .	RAB
سير نيشان حتا تشوف صيدلية .	RAB
شحال كا يدير الفطور ؟	RAB
كيفاش نقدر نعاونك ؟	RAB
مع القنت التالت دور على ليسر .	RAB
واش تبغي لاكريم و السكر في القهوة ديالك ؟	RAB
تقدر تخلص الشيك ديالي ديال ميتين دولار ؟	RAB
إلا خصو يبان ، عيط ليا عفاك .	RAB
فين القهوة ؟	RAB
بغيت تريكو ديال الدراري الصغار .	RAB
واخا . كايدير خمسة و تمانين دولار للبريد العادي و تلاتة دولار بالضبط زيادة للتوصيل الخاص .	RAB
واش غادي نلقا شي صعوبة مع الديوانا ؟	RAB
واش عندك صبابط رسمية واسعة عند الصبع ؟	RAB
لا . نقدر نقتارح ثنائية لواحد ؟ عندنا وحدة .	RAB
بيرمانونت مجهد ، عافاك .	RAB
بغات بيرا .	RAB
صباح الخير . كي داير ؟	RAB
سمح ليا خصني نشوف شي وثيقة ديال الهوية .	RAB
إينا نوع ديال الصوص ؟	RAB
اهوكا غادي ، بالضبط قدام البيرو متاع الارشادات السياحية .	TUN
عمري ما سمعت بالادريسة هاذي هوني .	TUN
امشي طول طول حتى لين تشوف صيدلية .	TUN
بقداش فطور الصباح ؟	TUN
كيفاش انجم نعاونك ؟	TUN
دور الدورة الثالثة عاليسار .	TUN
تحب كريمة و سكر في قهوتك ؟	TUN
تنجم تصبلي ها الشاك بميتين دولار متاعي ؟	TUN
لو لازم يضهر ، كلمني عيشك .	TUN
ويني القهوة ؟	TUN
نحب مريول متاع صغار .	TUN
باهي . مراسلة عادية بخمسة و ثمانين سنت وزايدة تلاثة دولارات بالضبط للمراسلة اللي من النوع لبخاص .	TUN
باش نلقى مشكلة مع الديوانة ؟	TUN
تبيعو صبابط رسمية يكونو واسعين من شيرة الصوابع ؟	TUN
لا . تحب بيت فيها زوز فروشات نحسبوها لشخص برك ؟ عنا وحدة .	TUN
نحب برمانونت قوية ، عيشك .	TUN
تحب كعبة بيرا .	TUN
صباح الخير . لاباس ؟	TUN
سامحني لازمني نشوف اوراقك .	TUN
شنوة الصوص ؟	TUN
هو هناك ، قدام الاستعلامات السياحية على طول .	ALX
عمرى ما سمعت عن العنوان دة هنا .	ALX
امشى على طول لحد ما تشوف صيدلية .	ALX
بكام الفطار ؟	ALX
إزاى أقدر أساعدك ؟	ALX
روح شمال عند الناصية الثالثة .	ALX
تحب كريمة وسكر فى القهوة بتاعتك ؟	ALX
ممكن تدفع الشيك بتاعى اللى بميتين دولار ؟	ALX
لو المفروض يظهر ، كلمنى لو سمحت .	ALX
فين الكوفى شوب ؟	ALX
عاوز بلوفر أطفال .	ALX
أوكى . بيكلف خمسة و ثمانين سنت للإيميل العادى و ثلاثة دولار بالظبط زيادة للتوصيل الخاص .	ALX
هلاقى أى صعوبة مع الجمارك ؟	ALX
عندك شوز رسمية بوش واسع ؟	ALX
لأ . ممكن أقترح أوضة بسريرين لشخص واحد كحل بديل ؟ إحنا عندنا واحدة .	ALX
عاوز كيرلى جامد ، من فضلك .	ALX
هى عاوزة بيرة .	ALX
صباح الخير . عامل إيه ؟	ALX
للأسف هحتاج أشوف بطاقة تحقيق شخصية .	ALX
إيه نوع الصوص ؟	ALX
راهو لهيك ، بالضبط قدام المكتب تع معلومات السياح .	ALG
جامي سمعت بهاذ العنوان في هاذ الجيهة .	ALG
امشي قبالة حتى تشوف صيدلية .	ALG
شحال القهوة تع الصباح ؟	ALG
كيفاش نقدر نعاونك ؟	ALG
دور على اليسار في الطريق الثالثة .	ALG
تحب الكريمة و السكر فالقهوة ديالك ؟	ALG
تقدر تصرفلي الميتين دولار تاوعي لي راهوم فالشاك ؟	ALG
ويدا لازم يظهر ، عيطلي من فضلك .	ALG
وين جايا القهوة ؟	ALG
راني حاب تريكو تع أطفال .	ALG
ايه . معنتها خمسة و ثمانون سنت للبرية العادية ، و تزيدلها ثلاثة دولار بالضبط باش تبعثها اكسبرس .	ALG
راني حاب نعرف ويدا يكون عندي مشكل مع الجمارك ؟	ALG
عندكم صبابط رسمية عراض من القدام ؟	ALG
لالا . نقترح عليك غرفة فيها زوج بناك لشخص واحد . كاينة واحدة واجدة .	ALG
راني حاب برمانونت قوي .	ALG
راهي حابة بيرة .	ALG
صباح الخير . واش راك ؟	ALG
سامحني لازم نطلب منك بطاقة تعريف .	ALG
واش من النوع تع الصوص ؟	ALG
هيو هناك ، بالزبط مقابل مكتب المعلومات السياحية .	AMM
أنا ما سمعت أبداً عن هاد العنوان في المنطقة هون .	AMM
امشي دغري لعند ما تشوف صيدلية .	AMM
كم سعر الفطور ؟	AMM
كيف بقدر أساعدك ؟	AMM
روح يسار من عند الدخلة التالتة .	AMM
بتحب الكريمة والسكر مع قهوتك ؟	AMM
ممكن تصرفلي الشيك بميتين دولار ؟	AMM
ازا بده يظهر ، لو سمحت كلمني .	AMM
وين الكوفي شوب ؟	AMM
بدي بلوفر أطفال .	AMM
طيب . بكلف تمنية وخمسين سنت للبريد العادي وتلاتة دولار بالزبط اضافية للتوصيل الخاص .	AMM
راح يكون عندي أي صعوبة في التعامل مع الجمارك ؟	AMM
عندك كندرة رسمية واسعة من عند الأصابع ؟	AMM
لا . ممكن أقترح عليك بدالها غرفة مزدوجة تستخدمها استخدام فردي . عنا وحدة .	AMM
أنا بدي اياه كتير مموج ، لو سمحت .	AMM
بدها خمرة .	AMM
صباح الخير . كيف حالك ؟	AMM
أسف راح أحتاج أشوف اثبات هوية .	AMM
أي نوع من الصوص ؟	AMM
هناك ، قدام مكتب ارشادات السياح على طول .	ASW
انا عمرى ماسمعت عن العنوان ده هنا .	ASW
امشي على طول لغاية متشوف صيدلية .	ASW
بكام الفطار ده ؟	ASW
إزاي أقدر اساعدك ؟	ASW
امشي شمال لغاية الناصية التالتة .	ASW
عايز كريمة وسكر على القهوة بتاعتك ؟	ASW
ممكن تصرفلى الشيك بتاعى بمتين دولار ؟	ASW
لو المفروض يظهر ، كلمني .	ASW
فين الكوفي شوب ؟	ASW
كنت عايز بلوفر اطفال .	ASW
ماشي . هتكلف خمسة وتمانين سنت لو بالبريد العادي وتلات دولارات بالظبط زيادة لو بالتوصيل الخاص .	ASW
هو انا هلاقي اى صعوبة مع الجمارك ؟	ASW
عندك جزم رسمية بوش عريض ؟	ASW
لا . بس ممكن اقترح بدل من كدة أوضة مزدوجة لاستخدام فرد ؟ احنا عندنا واحدة .	ASW
كنت عاوز كيرلى كويس ، لو سمحت .	ASW
هي عايزة بيرة .	ASW
صباح الخير . عامل ايه ؟	ASW
معلش كنت عايز اشوف تحقيق الشخصية .	ASW
اي نوع صوص ؟	ASW
موجود هنيك ، قدام مكتب معلومات السياح بالزبط .	DAM
ما سمعت بهيك عنوان هون من قبل .	DAM
إمشي مباشرة لحد ما تشوف صيدلية .	DAM
بأديش الفطور ؟	DAM
كيف فيني ساعدك ؟	DAM
لف عالشمال بالدخلة التالتة .	DAM
بتحب كريما وسكر مع القهوة ؟	DAM
ممكن تصرفلي هاد الشيك بقيمة ميتين دولار ؟	DAM
إذا بين ، اتصل فيني رجاءً .	DAM
وين القهوة ؟	DAM
بدي كنزة أطفال .	DAM
أوك . هاد بكلف خمسة وتمانين سنت بالبريد العادي وزيادة تلاتة دولار بالظبط للتوصيل الخاص .	DAM
ممكن واجه صعوبة مع الجمارك ؟	DAM
بلاقي عندك حذاء رسمي للرجلين العراض ؟	DAM
لاء . ممكن اقترح وحدة لشخصين للاستخدام الفردي بدالها ؟ عنا وحدة .	DAM
بدي كيرلي ضيق ، إذا سمحت .	DAM
بدها بيرة .	DAM
صباح الخير . كيفك ؟	DAM
للأسف أنا مضطر إني شوف شي بيثبت الهوية .	DAM
أي نوع صوص ؟	DAM
شوفه هناك ، قدام مكتب المعلومات السياحية بالضبط .	JED
ماقد سمعت بدا العنوان هنا .	JED
امشي سيدا لين ما تلاقي الصيدلية .	JED
بكم الفطور ؟	JED
كيف أقدر اساعدك ؟	JED
روح يسار عند الزواية الثالثة .	JED
تبا كريم وسكر في قهوتك ؟	JED
ممكن تعطيني كاش للشيك دا الميتين دولار ؟	JED
اذا لازم يظهر ، اتصل عليا لو سمحت .	JED
فين المقهى ؟	JED
أبا سترة اطفال .	JED
اوك . يكلف خمسة وتمانين سنت للأيميل العادي وزيادة تلاتة دولار بالضبط للتوصيل الخاص .	JED
ممكن اواجه صعوبات في الجمارك ؟	JED
عندك جزم رسمية واسعة عند الأصابع ؟	JED
لا . اقترحلك غرفة بسريرين لاستخدام شخص واحد بدال كدة ؟ عندنا وحدة .	JED
أبا شعري مجعد كثير ، لو سمحت .	JED
هيا تبا بيرة .	JED
صباح الخير ، كيفك ؟	JED
معليش لازم اشوف اثبات هوية .	JED
اية نوع من الصوص ؟	JED
هناك ، قدام مكتب استعلامات السياح بالزبط .	JER
عمري ما سمعت هدا العنوان هون .	JER
خليك ماشي دغري لتلاقي صيدلية .	JER
قديش الفطور ؟	JER
كيف بقدر أساعدك ؟	JER
روح شمال عند الكورنر التالتة .	JER
بتحب السكر و الكريمة مع قهوتك ؟	JER
بتقدر تصرفلي شك الميتين دولار تبعي ؟	JER
ازا لازم يظهر ، احكي معي .	JER
وين الكوفي شوب ؟	JER
بدي جرزة أطفال .	JER
طيب . بتكلف خمسة و تمانين سنت للبريد العادي و تلات دولارات بالزبط اضافية للتوصيل الخاص .	JER
رح ألاقي صعوبات في الجمارك ؟	JER
في عندك كندرة رسمي عريضة ؟	JER
لأ . تاخد غرفة بتختين لاستعمال واحد ؟ في عنا واحدة .	JER
بدي كيرلي صغير ، لو سمحت .	JER
بدها بيرة .	JER
صباح الخير . كيف حالك ؟	JER
